target,n_authors,threshold,balanced_accuracy,f1,minority_precision,minority_recall,roc_auc,average_precision,raw_accuracy,positive_rate_pred,positive_rate_true,model_id,split,model_name
target_S,1563,0.235,0.5815206741132668,0.1603498542274052,0.0946643717728055,0.5238095238095238,0.615546410608139,0.1121598769870769,0.6314779270633397,0.3717210492642354,0.0671785028790787,frozen_text_controls,test,Frozen Text + Controls
target_T,1563,0.3949999999999999,0.6857467409253618,0.6464924346629987,0.5642256902761105,0.7568438003220612,0.7473939369074605,0.6397017314342184,0.6711452335252719,0.5329494561740243,0.3973128598848368,frozen_text_controls,test,Frozen Text + Controls
target_J,1563,0.4849999999999999,0.5862359867483102,0.5241276911655531,0.4862258953168044,0.5684380032206119,0.6257542967134031,0.5336920252635482,0.5898912348048625,0.4644913627639155,0.3973128598848368,frozen_text_controls,test,Frozen Text + Controls
target_E,1562,0.4699999999999999,0.6283350070982292,0.4185068349106204,0.3220064724919094,0.5975975975975976,0.6685481250167987,0.3664838479766366,0.6459667093469911,0.3956466069142125,0.2131882202304737,frozen_text_mean_std,val,Frozen Text
target_S,1562,0.2049999999999999,0.6328519027968822,0.1887287024901703,0.1099236641221374,0.6666666666666666,0.6300053492281827,0.1055702702767929,0.6037131882202305,0.4193341869398207,0.0691421254801536,frozen_text_mean_std,val,Frozen Text
target_T,1562,0.4449999999999999,0.7102363686118902,0.6671438797423049,0.6012903225806452,0.7491961414790996,0.7719145515495656,0.6815834558084466,0.7023047375160051,0.4961587708066581,0.3982074263764404,frozen_text_mean_std,val,Frozen Text
target_J,1562,0.595,0.594760772878409,0.4674115456238361,0.5540838852097131,0.4041867954911433,0.6252162618655248,0.5225412740189179,0.6338028169014085,0.2900128040973111,0.3975672215108835,frozen_text_mean_std,val,Frozen Text
target_E,1563,0.4699999999999999,0.656389012049132,0.4503735325506937,0.3499170812603648,0.6317365269461078,0.700886266523097,0.3891315200040414,0.6705054382597568,0.3857965451055662,0.2136916186820217,frozen_text_mean_std,test,Frozen Text
target_S,1563,0.2049999999999999,0.5939349402312366,0.1644562334217506,0.0955315870570107,0.5904761904761905,0.6266640538245477,0.1119374186800686,0.5969289827255279,0.4152271273192578,0.0671785028790787,frozen_text_mean_std,test,Frozen Text
target_T,1563,0.4449999999999999,0.6772593002861627,0.6313528990694345,0.5682989690721649,0.7101449275362319,0.7457220905942404,0.6361791011527407,0.6705054382597568,0.4964811260396673,0.3973128598848368,frozen_text_mean_std,test,Frozen Text
