target,n_authors,threshold,balanced_accuracy,f1,minority_precision,minority_recall,roc_auc,average_precision,raw_accuracy,positive_rate_pred,positive_rate_true,model_id,split,model_name
target_S,1563,0.2299999999999999,0.6753282382912013,0.25,0.1607629427792915,0.5619047619047619,0.7299888954209942,0.2155129295381292,0.7735124760076776,0.2348048624440179,0.0671785028790787,set_attention_text_controls_p200,test,Set Attention Text + Controls p=200
target_T,1563,0.585,0.7395817307199196,0.6882399368587214,0.6749226006191951,0.7020933977455717,0.8136848655172295,0.7393004625699233,0.7472808701215611,0.4133077415227127,0.3973128598848368,set_attention_text_controls_p200,test,Set Attention Text + Controls p=200
target_J,1563,0.4299999999999999,0.6515841513072197,0.6028776978417266,0.5448634590377113,0.6747181964573269,0.7102184340714757,0.6282586725902805,0.6468330134357005,0.492002559181062,0.3973128598848368,set_attention_text_controls_p200,test,Set Attention Text + Controls p=200
target_E,1562,0.3549999999999999,0.6564066100274399,0.4512471655328798,0.3624772313296903,0.5975975975975976,0.7091265390695822,0.4066707563324793,0.6901408450704225,0.351472471190781,0.2131882202304737,set_attention_text_controls_p50,val,Set Attention Text + Controls p=50
target_S,1562,0.18,0.6335078200621529,0.2026578073089701,0.1234817813765182,0.5648148148148148,0.6881718375872433,0.1474208003497303,0.6927016645326505,0.3162612035851472,0.0691421254801536,set_attention_text_controls_p50,val,Set Attention Text + Controls p=50
target_T,1562,0.4549999999999999,0.7168434015187795,0.6715435259692758,0.6161073825503356,0.7379421221864951,0.7958524320996101,0.7142314467404257,0.7125480153649167,0.4769526248399487,0.3982074263764404,set_attention_text_controls_p50,val,Set Attention Text + Controls p=50
target_J,1562,0.4349999999999999,0.6261531827072648,0.5703758290346352,0.5258152173913043,0.6231884057971014,0.6694782848273585,0.5738685952332261,0.6267605633802817,0.471190781049936,0.3975672215108835,set_attention_text_controls_p50,val,Set Attention Text + Controls p=50
target_E,1563,0.3549999999999999,0.6477979760576487,0.4410480349344978,0.3470790378006873,0.6047904191616766,0.7193156404846938,0.4228047368771497,0.672424824056302,0.3723608445297505,0.2136916186820217,set_attention_text_controls_p50,test,Set Attention Text + Controls p=50
target_S,1563,0.18,0.6075053889868705,0.178125,0.1065420560747663,0.5428571428571428,0.6698608661571624,0.1321034162565674,0.6634676903390915,0.3422904670505438,0.0671785028790787,set_attention_text_controls_p50,test,Set Attention Text + Controls p=50
target_T,1563,0.4549999999999999,0.7055345292675672,0.6604046242774566,0.598951507208388,0.7359098228663447,0.7786359238403915,0.691668761891486,0.6992962252079334,0.4881637875879718,0.3973128598848368,set_attention_text_controls_p50,test,Set Attention Text + Controls p=50
target_J,1563,0.4349999999999999,0.6272449408699754,0.5755603759942155,0.5223097112860893,0.6409017713365539,0.6720924746402454,0.5903865871122846,0.6244401791426744,0.4875239923224568,0.3973128598848368,set_attention_text_controls_p50,test,Set Attention Text + Controls p=50
target_E,1562,0.4399999999999999,0.6822888796037698,0.4870210135970333,0.4138655462184873,0.5915915915915916,0.7399629083925259,0.483891153984802,0.734314980793854,0.3047375160051216,0.2131882202304737,set_attention_text_p200,val,Set Attention Text p=200
target_S,1562,0.145,0.6321386723725101,0.1863979848866498,0.107871720116618,0.6851851851851852,0.6822685821998064,0.1424919845144895,0.586427656850192,0.439180537772087,0.0691421254801536,set_attention_text_p200,val,Set Attention Text p=200
target_T,1562,0.615,0.7580129301498255,0.7103393843725335,0.6976744186046512,0.7234726688102894,0.8264537866867347,0.7584377132116934,0.765044814340589,0.4129321382842509,0.3982074263764404,set_attention_text_p200,val,Set Attention Text p=200
target_J,1562,0.4599999999999999,0.6446254969103002,0.6035911602209945,0.528415961305925,0.7037037037037037,0.6913534613021746,0.5872208600916266,0.6325224071702945,0.529449423815621,0.3975672215108835,set_attention_text_p200,val,Set Attention Text p=200
target_E,1563,0.4399999999999999,0.6868382843751066,0.4937965260545905,0.4216101694915254,0.5958083832335329,0.7562328556881356,0.4741058148524379,0.7389635316698656,0.3019833653230966,0.2136916186820217,set_attention_text_p200,test,Set Attention Text p=200
target_S,1563,0.145,0.6730550656476583,0.1997563946406821,0.1145251396648044,0.780952380952381,0.7249787706577829,0.1938171325958882,0.5796545105566219,0.4580934101087652,0.0671785028790787,set_attention_text_p200,test,Set Attention Text p=200
target_T,1563,0.615,0.7283275382832293,0.6740858505564388,0.6656200941915228,0.6827697262479872,0.8082778615410389,0.7353358180047306,0.7376839411388356,0.4075495841330774,0.3973128598848368,set_attention_text_p200,test,Set Attention Text p=200
target_J,1563,0.4599999999999999,0.6377068012349099,0.5990469707283866,0.5188679245283019,0.7085346215780999,0.6969855482732802,0.6163807768311074,0.6231605886116443,0.5425463851567498,0.3973128598848368,set_attention_text_p200,test,Set Attention Text p=200
target_E,1562,0.3199999999999999,0.6626594047261256,0.4514991181657848,0.3196004993757803,0.7687687687687688,0.7115357831387122,0.4182412027346919,0.6017925736235595,0.5128040973111395,0.2131882202304737,set_attention_text_p50,val,Set Attention Text p=50
target_S,1562,0.0849999999999999,0.6366727800703041,0.1747042766151046,0.0968718466195761,0.8888888888888888,0.6847839930714759,0.1375599089915165,0.4193341869398207,0.6344430217669654,0.0691421254801536,set_attention_text_p50,val,Set Attention Text p=50
target_T,1562,0.4599999999999999,0.7197509748922488,0.6735598227474151,0.6229508196721312,0.7331189710610932,0.7928901279332286,0.7073071926161165,0.7170294494238156,0.4686299615877081,0.3982074263764404,set_attention_text_p50,val,Set Attention Text p=50
target_J,1562,0.4899999999999999,0.6313203653221211,0.5668202764976958,0.5418502202643172,0.5942028985507246,0.675363345603146,0.5920217197947778,0.6389244558258643,0.4359795134443022,0.3975672215108835,set_attention_text_p50,val,Set Attention Text p=50
target_E,1563,0.3199999999999999,0.6506701811998461,0.4406490179333903,0.3082437275985663,0.7724550898203593,0.7150182953864443,0.4166676388675736,0.580934101087652,0.5355086372360844,0.2136916186820217,set_attention_text_p50,test,Set Attention Text p=50
target_S,1563,0.0849999999999999,0.6300607485792671,0.1671111111111111,0.092156862745098,0.8952380952380953,0.6838003788621072,0.1375919717113027,0.400511836212412,0.6525911708253359,0.0671785028790787,set_attention_text_p50,test,Set Attention Text p=50
target_T,1563,0.4599999999999999,0.6996240909976716,0.653090909090909,0.5954907161803713,0.7230273752012882,0.7769948477047157,0.6982225366287795,0.6948176583493282,0.4824056301983365,0.3973128598848368,set_attention_text_p50,test,Set Attention Text p=50
target_J,1563,0.4899999999999999,0.6200036924213053,0.5534204458109147,0.5294117647058824,0.5797101449275363,0.66690257136117,0.5822121590991787,0.6282789507357646,0.4350607805502239,0.3973128598848368,set_attention_text_p50,test,Set Attention Text p=50
target_E,1562,0.4849999999999999,0.6838575760463474,0.4916344916344916,0.4301801801801801,0.5735735735735735,0.7434570453284856,0.4852984038952769,0.7471190781049936,0.2842509603072983,0.2131882202304737,set_attention_text_real_emotion_controls_p200,val,Set Attention Text + Real Emotion + Controls p=200
target_S,1562,0.2549999999999999,0.646568852208467,0.2553191489361702,0.1791044776119403,0.4444444444444444,0.6880190024963065,0.1526527518459971,0.8207426376440461,0.1715749039692701,0.0691421254801536,set_attention_text_real_emotion_controls_p200,val,Set Attention Text + Real Emotion + Controls p=200
target_T,1562,0.5499999999999999,0.7551173291373059,0.708171206225681,0.6862745098039216,0.7315112540192926,0.8306218786344668,0.7585909374918358,0.7599231754161332,0.4244558258642765,0.3982074263764404,set_attention_text_real_emotion_controls_p200,val,Set Attention Text + Real Emotion + Controls p=200
target_J,1562,0.5049999999999999,0.654301022826643,0.6049204052098408,0.5492772667542707,0.6731078904991948,0.6994905546400256,0.6047398638099037,0.6504481434058899,0.4871959026888604,0.3975672215108835,set_attention_text_real_emotion_controls_p200,val,Set Attention Text + Real Emotion + Controls p=200
target_E,1563,0.4849999999999999,0.6895241250615125,0.5,0.4389140271493212,0.5808383233532934,0.7572462885457727,0.47847168746109,0.7517594369801663,0.2827895073576456,0.2136916186820217,set_attention_text_real_emotion_controls_p200,test,Set Attention Text + Real Emotion + Controls p=200
target_S,1563,0.2549999999999999,0.6378110915147952,0.2412868632707774,0.167910447761194,0.4285714285714285,0.7252661832908747,0.2188267433120981,0.818937939859245,0.1714651311580294,0.0671785028790787,set_attention_text_real_emotion_controls_p200,test,Set Attention Text + Real Emotion + Controls p=200
